"HolderAddress","Balance","PendingBalanceUpdate"
"0x43124e38be8141faeb55292bf5fc4eff9f33a138","4,508,021,244.706957283508843841","No"
"0x75331ebbe0b00b97cab532384f13c9b479f074ec","4,400,000,000","No"
"0x156e5776fbc254d985b3fc4ae4ce1cd3ed1c1e32","4,253,269,659.618287732088265184","No"
"0x5f902eb3902c519ae148a85837cbd8ff63241d12","4,252,649,453.177904062596185524","No"
"0x94e5a32560d16b417676954168bd2c69496418d3","4,168,021,721.557292608526698616","No"
"0xbbdc8e177b6ee005a7b858866cedd1589540d3b8","4,128,838,021.523533186096252035","No"
"0x77e09ab2cb69d1742a58770792e471450613fbbd","4,012,945,510.650813105740934947","No"
"0xafbc482c5f092d317f5ce2cc7b7003d8a061e380","3,937,288,784.991062752099086021","No"
"0x70a1994c3c10ec28f31b13c962a6f8d2a791be9f","3,934,607,650","No"
"0xe528d09b200349403ed4f469d39341f74835b4fe","3,872,078,286.516583638184826341","No"
"0xbfa43bf6e9fb6d5cc253ff23c31f2b86a739bb98","3,619,815,762.489627330142759302","No"
"0x9c64c4b1a9d2eb9fae60cd9fecf86557f584117b","3,611,171,145","No"
"0x69ae440265786d7df8d651a7ee2d5f6c2f99fbd2","3,608,829,225.899425592190848404","No"
"0xa2b650f72e552fa3f29d521af4fe61e80934038d","3,575,919,681.736684720702178552","No"
"0x2b6594556e8924ed89d4e4908d2f32d72830126d","3,563,116,891.057840090592232317","No"
"0xa4042312c7b4b9d54daf8172a10516c7c8f650a7","3,501,815,762.046341184944417649","No"
"0x62efbbc99349456ae6cb45feaec6ee5b9f15883c","3,500,000,000","No"
"0x97b90fbc8904f861f76cb06bfa0a465b72c5e662","3,448,725,586.85431387404666042","No"
"0x8b13678d951788ba04e61965331c3822b1ee8c79","3,413,582,403.572909","No"
"0x1ca0a84230d73a986681b22391c198ad5887903c","3,369,180,626.885331635140229165","No"
"0xa4e6fdb1a69460124f4e33168e3683c0c217324b","3,312,394,915.552658440830406338","No"
"0x7c43a9c3b85619be2f7c0a4d676ecd373f63b73c","3,295,597,331.415502861001853619","No"
"0xf3ca7683ad63e800d8a0311f3fb203c1618f0f5b","3,179,374,187.048800634689971694","No"
"0xe93c2fe3c5473c52099fb2121b8ae62cd7e68cef","3,165,965,362.250331128668592155","No"
"0xf74cc3ddaabb03b73c999bf05741181be3e439c4","3,144,416,994.551721364076781927","No"
"0x62872c62d5087294e4dd4d47012e51e71ceb1745","3,118,467,758.724412451533456337","No"
"0xfc651a9e723a4da0e7eb264f6f73a680d9721f69","3,112,382,445.810528554417470835","No"
"0x1be0afba67bcfa50ba25c20b9a251d97775a288e","3,076,338,807.881125540925887867","No"
"0xbc498d5ae47412d78746540256663fe455069d8c","3,018,631,593.877378273159065962","No"
"0x7ae7188d2175322db95a1323dfd53ad38583c70d","3,000,000,000.000003144412375954","No"
"0x128b83d86d41f2c0a2a549d70a8f5e255d2f9896","2,968,017,128.752887696069596438","No"
"0x50c7d9da3f3c46bcb0779752f0ff9258bb5e6cf4","2,916,491,742.69992273753298466","No"
"0x7d2ba9ae2328db82d2790c885bc47db0b6786c17","2,839,263,033.283249707529072568","No"
"0x8d4f0ab6eb4a192ca9d6c72656def54e154d2f07","2,829,875,345.757262023919196075","No"
"0x60b0224bebd002e2cf9ef7d505dcd07ea5bd1156","2,825,496,464.181747402136625842","No"
"0xdaac9faf9eb748a5bfbfd9b0d1383e9ada4ccecf","2,823,501,894.593317532134519153","No"
"0x30d3cfa9b7b2142df48ef8d6d5ae7debf565001d","2,823,022,611.526780860608139858","No"
"0x303c223e6acafe204800fea771842cbb421b51d0","2,815,703,498.978464810731765397","No"
"0x57dc4a5d290275b953ab837ff74115ee9ad07e06","2,739,808,362.63","No"
"0xdf60e2322c03ed945a102297fc56741879e15d2c","2,717,296,976.823152690988996335","No"
"0xd79ae46e3b634a51bc2d0b9613aa01e74579acac","2,700,204,103.867961928300633475","No"
"0xf7aee0c196c4efcb7a16b5e17cde8e6d5d0d01f3","2,700,000,000","No"
"0xbfb148ab6678bbf4463590a98f5a87a2d094eda9","2,660,836,506.341603170663458952","No"
